Player,Team,Pos,Rank,Risk,FP,FireFactor
Zach Ertz,PHI,TE,#9 TE,Low,96.85,18
Giovani Bernard,CIN,RB,#34 RB,Low,96.87,17.99
Doug Martin,TB,RB,#35 RB,High,93.35,14.47
Eli Manning,NYG,QB,#14 QB,Low,244.48,14.17
Dwayne Allen,IND,TE,#10 TE,Low,92.97,14.12
Malcom Floyd,SD,WR,#45 WR,Moderate,97.73,13.98
Dwayne Bowe,CLE,WR,#46 WR,Moderate,96.98,13.23
Alfred Blue,HOU,RB,#36 RB,Low,91.38,12.5
Kendall Wright,TEN,WR,#47 WR,Low,95.55,11.8
Kenny Stills,MIA,WR,#48 WR,Low,94.65,10.9
Terrance Williams,DAL,WR,#49 WR,Low,94.47,10.72
Fred Jackson,BUF,RB,#37 RB,Low,89.13,10.25
Jay Cutler,CHI,QB,#15 QB,Low,240.2,9.89
Ryan Mathews,PHI,RB,#38 RB,Moderate,87.87,8.99
Delanie Walker,TEN,TE,#11 TE,Low,87.45,8.6
Seattle D/ST,SEA,D,#1 D,Low,179.73,8.11
Jordan Reed,WSH,TE,#12 TE,Low,86.85,8
Eddie Royal,CHI,WR,#50 WR,Low,90.64,6.89
Buffalo D/ST,BUF,D,#2 D,Low,167.62,5.68
Doug Baldwin,SEA,WR,#51 WR,Low,88.59,4.84
Bishop Sankey,TEN,RB,#39 RB,Low,82.81,3.93
Owen Daniels,DEN,TE,#13 TE,Low,82.67,3.82
Kenny Britt,STL,WR,#52 WR,Moderate,87.48,3.73
Philadelphia D/ST,PHI,D,#3 D,Low,156.82,3.52
Baltimore D/ST,BAL,D,#4 D,Low,156.67,3.49
Charles Sims,TB,RB,#40 RB,Low,82.36,3.48
Pierre Garcon,WSH,WR,#53 WR,Low,87.02,3.27
John Brown,ARI,WR,#54 WR,Low,86.95,3.2
Detroit D/ST,DET,D,#5 D,Low,154.28,3.02
Sam Bradford,PHI,QB,#16 QB,High,233.24,2.93
Houston D/ST,HOU,D,#6 D,Low,152.2,2.6
Breshad Perriman,BAL,WR,#55 WR,Low,86.01,2.26
Shane Vereen,NYG,RB,#41 RB,Low,80.87,1.99
Steven Hauschka,SEA,K,#1 K,Low,138.69,1.28
Connor Barth,DEN,K,#2 K,Low,137.54,1.17
Justin Tucker,BAL,K,#3 K,Low,137.39,1.15
Dan Bailey,DAL,K,#4 K,Low,136.97,1.11
Stephen Gostkowski,NE,K,#5 K,Low,136.73,1.09
Carson Palmer,ARI,QB,#17 QB,Low,231.33,1.02
Mason Crosby,GB,K,#6 K,Low,135.69,0.98
Adam Vinatieri,IND,K,#7 K,Low,134.48,0.86
Cody Parkey,PHI,K,#8 K,Low,133.61,0.77
Denver D/ST,DEN,D,#7 D,Low,142.89,0.74
Matt Bryant,ATL,K,#9 K,Low,131.55,0.57
Carolina D/ST,CAR,D,#8 D,Low,141.86,0.53
Indianapolis D/ST,IND,D,#9 D,Low,141.39,0.44
Kansas City D/ST,KC,D,#10 D,Low,141.08,0.38
Nick Novak,SD,K,#10 K,Low,127.01,0.11
Coby Fleener,IND,TE,#14 TE,Low,78.85,0
Teddy Bridgewater,MIN,QB,#18 QB,Low,230.31,0
Reggie Wayne,NE,WR,#56 WR,Low,83.75,0
Tre Mason,STL,RB,#42 RB,Low,78.88,0
Dallas D/ST,DAL,D,#11 D,Low,139.2,0
Josh Brown,NYG,K,#11 K,Low,125.88,0
Sebastian Janikowski,OAK,K,#12 K,Low,125.8,-0.01
Dustin Hopkins,NO,K,#12 K,Low,125.78,-0.01
Colin Kaepernick,SF,QB,#19 QB,Low,230.3,-0.01
Brian Hartline,CLE,WR,#57 WR,Low,83.61,-0.14
Patrick Murray,TB,K,#14 K,Low,123.84,-0.2
Cincinnati D/ST,CIN,D,#12 D,Low,138.11,-0.22
Miami D/ST,MIA,D,#13 D,Low,138.04,-0.23
Graham Gano,CAR,K,#15 K,Low,123.25,-0.26
Randy Bullock,HOU,K,#16 K,Low,122.86,-0.3
Arizona D/ST,ARI,D,#14 D,Low,137.58,-0.32
Caleb Sturgis,MIA,K,#17 K,Low,122.32,-0.36
Ryan Succop,TEN,K,#18 K,Low,121.91,-0.4
