EdDickson,TE,26.9
DionSims,TE,25.9
C.J.Fiedorowicz,TE,25.6
RyanHewitt,TE,25.1
VernonDavis,TE,24.4
JimDray,TE,23.9
JamesO'Shaughnessy,TE,21.8
ColeWick,TE,21.5
CoryHarkey,TE,20.8
NilesPaul,TE,20
CraigStevens,TE,19.3
BlakeBell,TE,19.3
KellenDavis,TE,18.8
LeeSmith,TE,18.7
RhettEllison,TE,17.4
GeraldChristian,TE,16.3
GarrettGraham,TE,16.3
BruceMiller,TE,16.1
JamesHanna,TE,16.1
MyColePruitt,TE,16
DennisPitta,TE,15.9
TreyBurton,TE,14.8
BrandonPettigrew,TE,13.9
JusticeCunningham,TE,13.8
RobHousler,TE,13.7
LevineToilolo,TE,13.3
KhariLee,TE,12.8
TonyMoeaki,TE,12.6
TroyNiklas,TE,12.2
JeffCumberland,TE,12.2
MattSpaeth,TE,10.9
DemetriusHarris,TE,10.7
SethDeValve,TE,10
C.J.Uzomah,TE,9.7
CooperHelfet,TE,9.5
MalcolmJohnson,TE,8.3
MichaelHoomanawanui,TE,8.3
JustinPerillo,TE,7.1
DerekCarrier,TE,6.8
TemarrickHemingway,TE,6.6
BrandonBostick,TE,6.5
SeanMcGrath,TE,5.8
JerellAdams,TE,5.4
LukeStocker,TE,5.4
DavidJohnson,TE,5.3
LoganPaulsen,TE,5.3
NicJacobs,TE,5.3
NickBoyle,TE,4.6
ClayHarbor,TE,4.6
NickVannett,TE,4.4
BenBraunecker,TE,4.2
PhillipSupernaw,TE,4.1
ChrisGragg,TE,4
NickO'Leary,TE,3.8
ZachSudfeld,TE,3.8
ErikSwoope,TE,3.5
BrandonMyers,TE,3.4
JohnPhillips,TE,3.4
DarrenWaller,TE,2.9
MatthewMulligan,TE,2.9
BrianParker,TE,2.1
AJDerby,TE,2.1
AsanteCleveland,TE,1.9
AndrewQuarless,TE,1.6
BeauSandland,TE,1.4
XavierGrimble,TE,1
RicoGathers,TE,0.6
DavidMorgan,TE,0.5
MarQueisGray,TE,0.5
RandallTelfer,TE,0.4
ScottSimonson,TE,0.1
MattLaCosse,TE,0.1
ChaseCoffman,TE,0
BearPascoe,TE,0
GeoffSwaim,TE,0
OwenDaniels,TE,0
OrsonCharles,TE,0
KennardBackman,TE,0
ThomasDuarte,TE,0
DominiqueJones,TE,0
ScottChandler,TE,0
RaShaunAllen,TE,0
ChrisManhertz,TE,0
GabeHolmes,TE,0
ChrisPantale,TE,0
BrandonWilliams,TE,0
MarcelJensen,TE,0
AntonioBrown,WR,235.5
JulioJones,WR,219.5
OdellBeckhamJr.,WR,211.5
DeAndreHopkins,WR,193.4
A.J.Green,WR,184.6
DezBryant,WR,176.2
AlshonJeffery,WR,171.8
JordyNelson,WR,171.8
AllenRobinson,WR,171.3
MikeEvans,WR,167.4
T.Y.Hilton,WR,166.1
BrandonMarshall,WR,166
BrandinCooks,WR,161.3
AmariCooper,WR,159.8
KeenanAllen,WR,158.9
DemaryiusThomas,WR,158
SammyWatkins,WR,156.9
RandallCobb,WR,155.6
JeremyMaclin,WR,149.5
JarvisLandry,WR,145.1
EricDecker,WR,144.3
GoldenTate,WR,139.6
DougBaldwin,WR,138.6
KelvinBenjamin,WR,138.1
JulianEdelman,WR,138
LarryFitzgerald,WR,136.8
EmmanuelSanders,WR,134.7
JordanMatthews,WR,131.4
DonteMoncrief,WR,129.8
DeSeanJackson,WR,128.3
MichaelFloyd,WR,127
JohnBrown,WR,126.6
MichaelCrabtree,WR,119.6
AllenHurns,WR,118.9
MarvinJones,WR,118
TorreySmith,WR,117.2
DevanteParker,WR,115.8
TylerLockett,WR,114.2
VincentJackson,WR,111
WillieSnead,WR,110.7
SterlingShepard,WR,108.7
TavonAustin,WR,106
StefonDiggs,WR,100.8
CoreyColeman,WR,100
SteveSmith,WR,99.7
MarkusWheaton,WR,98.2
KevinWhite,WR,96.9
JoshGordon,WR,96.2
MichaelThomas,WR,94.8
TravisBenjamin,WR,94.6
PhillipDorsett,WR,93.9
DevinFunchess,WR,92.6
RishardMatthews,WR,90.2
PierreGarcon,WR,89.1
TerranceWilliams,WR,87.4
MohamedSanu,WR,87.2
MikeWallace,WR,86.8
KamarAiken,WR,86.3
WillFuller,WR,86.2
LaquonTreadwell,WR,83.8
KennyBritt,WR,82.2
TylerBoyd,WR,81.8
KennyStills,WR,76.6
RobertWoods,WR,75.5
TajaeSharpe,WR,74.8
JermaineKearse,WR,72.4
NelsonAgholor,WR,69.7
BreshadPerriman,WR,68.6
KendallWright,WR,68.4
TedGinn,WR,68
DorialGreen-Beckham,WR,67.4
AnquanBoldin,WR,67.2
DavanteAdams,WR,66.5
ChrisHogan,WR,64.3
JoshDoctson,WR,63.5
BrandonLaFell,WR,63.2
JaelenStrong,WR,60.3
ColeBeasley,WR,59.5
SethRoberts,WR,58.2
SammieCoates,WR,58.2
ChrisConley,WR,58.1
QuintonPatton,WR,58
EliRogers,WR,57.9
EddieRoyal,WR,57.1
VictorCruz,WR,56.8
JamisonCrowder,WR,56.3
DannyAmendola,WR,54.9
TerrellePryor,WR,53.4
JustinHardy,WR,51.4
AlbertWilson,WR,49.5
MarqiseLee,WR,48.5
RuebenRandle,WR,46.8
JariusWright,WR,46.3
DontrelleInman,WR,45.8
BraxtonMiller,WR,45.5
CharlesJohnson,WR,44.9
BrianQuick,WR,42.3
BrandonColeman,WR,41.6
LeonardHankerson,WR,41.5
PharohCooper,WR,40.8
AndrewHawkins,WR,40
J.J.Nelson,WR,37.3
CodyLatimer,WR,36.8
LeonteCarroo,WR,36.4
BennieFowler,WR,35.4
DwayneHarris,WR,35.2
JamesJones,WR,35.2
QuincyEnunwa,WR,35.2
PhillyBrown,WR,34.9
BriceButler,WR,34.2
DarriusHeyward-Bey,WR,34.2
MarquessWilson,WR,34
MikeWilliams,WR,33.7
AndreJohnson,WR,33.4
AndreRoberts,WR,33.2
TyrellWilliams,WR,33.1
CecilShorts,WR,33
AndreHolmes,WR,32.7
JoshHuff,WR,32.4
AdamHumphries,WR,31.6
RashadGreene,WR,31.2
JeremyKerley,WR,30.7
